Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,3Ssn Porch,Fence,Mo Sold,Yr Sold,Sale Type,SalePrice,has_pool,bath_count,deck_porch_sf,qual_cond
1044,160,RM,21.0,1680,0,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3.0,3.0,No,ALQ,387.0,Unf,0.0,96.0,483.0,3,1,SBrkr,483,504,0,987,2,1,3,4,Typ,0,0.0,Detchd,1971.0,Unf,1.0,264.0,3.0,3.0,Y,0,0,7,2008,COD,85400,1,2.0,0,30
2752,20,RL,64.0,7488,0,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,5,1,SBrkr,1208,0,0,1208,2,1,4,6,Typ,0,0.0,Attchd,2005.0,RFn,2.0,632.0,3.0,3.0,Y,0,0,2,2006,WD ,183600,1,2.0,163,35
807,70,RL,120.0,26400,0,Reg,Bnk,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,5,1,SBrkr,1288,728,0,2016,4,1,3,7,Mod,1,3.0,Attchd,1900.0,Unf,2.0,576.0,3.0,3.0,P,0,0,6,2009,WD ,131000,1,1.0,0,35
1177,160,FV,24.0,2645,1,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,No,GLQ,813.0,Unf,0.0,147.0,960.0,5,1,SBrkr,962,645,0,1607,3,1,4,7,Typ,0,0.0,Detchd,2000.0,Unf,2.0,480.0,3.0,3.0,Y,0,0,12,2008,ConLD,200000,1,4.0,169,40
1480,20,RL,74.0,9627,0,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,5,1,SBrkr,1361,0,0,1361,3,1,4,6,Typ,0,0.0,Attchd,2007.0,RFn,2.0,610.0,3.0,3.0,Y,0,0,6,2008,WD ,193000,1,2.0,50,35
324,20,RL,93.0,10114,0,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5.0,3.0,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,5,1,SBrkr,1430,0,0,1430,3,1,4,7,Typ,0,0.0,Attchd,2004.0,RFn,2.0,624.0,3.0,3.0,Y,0,0,3,2010,WD ,173500,1,2.0,0,25
1311,70,RM,34.0,4571,1,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1916,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,No,Unf,0.0,Unf,0.0,624.0,624.0,2,0,SBrkr,624,720,0,1344,4,1,3,7,Typ,0,0.0,Detchd,1916.0,Unf,3.0,513.0,2.0,2.0,Y,0,0,5,2008,COD,98000,1,1.0,96,25
770,20,RL,80.0,8816,0,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,No,Rec,651.0,Unf,0.0,470.0,1121.0,3,1,SBrkr,1121,0,0,1121,3,1,3,5,Typ,0,0.0,Detchd,1963.0,Unf,2.0,480.0,3.0,3.0,Y,0,MnPrv,6,2009,WD ,139000,1,2.0,80,30
2063,20,RL,71.0,8197,0,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,No,Unf,0.0,Unf,0.0,660.0,660.0,5,1,SBrkr,1285,0,0,1285,3,1,3,7,Typ,1,3.0,Attchd,1977.0,RFn,2.0,528.0,3.0,3.0,Y,0,MnPrv,4,2007,WD ,143500,1,2.0,138,30
69,60,FV,72.0,8640,0,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,5,1,SBrkr,764,783,0,1547,3,1,4,7,Typ,0,0.0,Attchd,2009.0,Unf,2.0,614.0,3.0,3.0,Y,0,0,6,2010,Con,215200,1,3.0,214,35
2062,20,RL,109.0,8724,0,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,No,BLQ,492.0,Unf,0.0,402.0,894.0,4,1,SBrkr,894,0,0,894,3,1,3,5,Typ,1,1.0,Attchd,1968.0,Fin,2.0,450.0,3.0,3.0,Y,0,0,5,2007,WD ,129000,1,1.0,0,25
351,120,RL,40.0,5664,0,IR1,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,5,1,SBrkr,1659,0,0,1659,2,1,5,5,Typ,1,5.0,Attchd,2000.0,Fin,2.0,499.0,3.0,3.0,Y,0,0,10,2009,WD ,278000,1,3.0,271,40
2393,60,RL,103.0,12867,0,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,0,0.0,4,3,PConc,5.0,3.0,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,5,1,SBrkr,1209,1044,0,2253,3,1,5,8,Typ,1,4.0,Attchd,2005.0,Fin,2.0,575.0,3.0,3.0,Y,0,0,7,2006,New,344133,1,3.0,385,40
12,20,RL,,7980,0,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4.0,3.0,No,ALQ,935.0,Unf,0.0,233.0,1168.0,5,1,SBrkr,1187,0,0,1187,3,1,3,6,Typ,0,0.0,Attchd,1992.0,Fin,2.0,420.0,3.0,3.0,Y,0,GdPrv,3,2010,WD ,185000,1,3.0,504,42
2339,190,RL,100.0,34650,0,Reg,Bnk,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,3,0,SBrkr,1056,0,0,1056,3,1,3,5,Typ,0,0.0,Attchd,1955.0,Fin,2.0,572.0,3.0,3.0,Y,0,0,1,2006,WD ,145000,1,2.0,264,25
624,20,RL,92.0,10573,0,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3.0,3.0,No,Rec,1312.0,Unf,0.0,141.0,1453.0,5,1,SBrkr,1453,0,0,1453,3,1,3,6,Typ,1,3.0,Attchd,1961.0,RFn,2.0,530.0,3.0,3.0,Y,0,GdPrv,4,2009,WD ,187500,1,3.0,337,36
86,20,RL,65.0,8450,0,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,No,GLQ,553.0,BLQ,117.0,224.0,894.0,5,1,SBrkr,894,0,0,894,3,1,3,5,Typ,1,4.0,Detchd,1973.0,Unf,1.0,336.0,3.0,3.0,Y,0,MnPrv,4,2010,WD ,138500,1,2.0,560,40
1534,50,RL,,11700,1,IR1,HLS,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,No,BLQ,606.0,Unf,0.0,336.0,942.0,5,1,SBrkr,1265,673,0,1938,4,1,4,7,Min2,1,4.0,Detchd,1937.0,Unf,1.0,240.0,3.0,3.0,Y,0,0,7,2008,WD ,198000,1,2.0,40,30
2243,190,C (all),75.0,8250,0,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,No,Unf,0.0,Unf,0.0,957.0,957.0,2,0,SBrkr,1034,957,0,1991,4,2,3,9,Typ,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,N,0,0,6,2007,WD ,119600,1,2.0,133,30
1957,50,RL,60.0,8064,0,Reg,Lvl,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,Mn,Unf,0.0,Unf,0.0,672.0,672.0,5,1,SBrkr,672,252,0,924,3,1,3,6,Typ,1,1.0,Detchd,2003.0,Unf,2.0,576.0,3.0,3.0,Y,0,MnPrv,7,2007,WD ,122900,1,1.0,0,35
380,20,RL,80.0,9600,0,Reg,Lvl,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4.0,3.0,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,3,1,SBrkr,2524,0,0,2524,4,1,4,9,Typ,1,4.0,Attchd,1981.0,Fin,2.0,542.0,3.0,3.0,Y,0,MnPrv,7,2009,WD ,278000,1,4.0,594,40
2860,70,RL,,11435,0,IR1,HLS,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1929,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4.0,3.0,No,Unf,0.0,Unf,0.0,792.0,792.0,2,1,SBrkr,792,725,0,1517,3,1,4,7,Typ,2,4.0,Detchd,1931.0,Unf,2.0,400.0,3.0,3.0,Y,0,0,6,2006,WD ,230000,1,1.0,0,56
2517,120,RL,30.0,9549,0,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4.0,4.0,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,5,1,SBrkr,1494,0,0,1494,2,1,5,6,Typ,1,4.0,Attchd,1995.0,Fin,2.0,481.0,3.0,3.0,Y,0,0,4,2006,WD ,270000,1,3.0,246,40
1933,20,RL,60.0,10950,0,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,No,ALQ,441.0,Unf,0.0,507.0,948.0,3,1,SBrkr,948,0,0,948,2,1,3,5,Typ,0,0.0,Detchd,1952.0,Unf,2.0,410.0,3.0,3.0,N,0,0,4,2007,WD ,125000,1,1.0,48,36
820,20,RL,79.0,10637,0,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5.0,3.0,4,GLQ,1288.0,Unf,0.0,417.0,1705.0,5,1,SBrkr,1718,0,0,1718,3,1,4,7,Typ,1,4.0,Attchd,2007.0,RFn,3.0,826.0,3.0,3.0,Y,0,0,9,2009,WD ,297000,1,3.0,252,40
675,20,RL,80.0,9000,0,IR1,HLS,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4.0,3.0,4,Unf,0.0,Unf,0.0,160.0,160.0,2,1,SBrkr,1142,0,0,1142,2,1,3,5,Typ,1,4.0,Basment,1958.0,RFn,1.0,384.0,3.0,3.0,Y,0,0,4,2009,WD ,113500,1,1.0,92,36
2910,160,RM,41.0,2665,0,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3.0,3.0,No,ALQ,548.0,Rec,173.0,36.0,757.0,5,1,SBrkr,925,550,0,1475,4,1,3,6,Typ,1,3.0,Attchd,1977.0,RFn,1.0,336.0,3.0,3.0,Y,0,0,7,2006,WD ,127000,1,2.0,130,30
21,20,RL,105.0,11751,0,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4.0,3.0,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,5,1,SBrkr,1844,0,0,1844,3,1,3,7,Typ,1,3.0,Attchd,1977.0,RFn,2.0,546.0,3.0,3.0,Y,0,MnPrv,1,2010,COD,190000,1,2.0,122,36
1873,20,RL,80.0,9600,0,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3.0,3.0,No,ALQ,916.0,Unf,0.0,326.0,1242.0,2,1,SBrkr,1242,0,0,1242,3,1,3,6,Typ,1,3.0,Attchd,1973.0,Unf,2.0,528.0,3.0,3.0,Y,0,0,9,2007,WD ,175500,1,2.0,0,42
2125,20,RL,60.0,8428,0,IR2,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4.0,4.0,No,GLQ,420.0,Unf,0.0,570.0,990.0,5,1,SBrkr,990,0,0,990,3,1,3,5,Typ,0,0.0,Detchd,1995.0,Unf,1.0,384.0,3.0,3.0,Y,0,0,7,2007,WD ,146000,1,2.0,256,35
1489,20,RL,75.0,9937,0,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3.0,3.0,No,BLQ,830.0,LwQ,290.0,136.0,1256.0,4,1,SBrkr,1256,0,0,1256,3,1,3,6,Typ,0,0.0,Attchd,1965.0,Fin,1.0,276.0,3.0,3.0,Y,0,0,6,2008,WD ,147500,1,3.0,804,30
2383,20,RL,107.0,13891,0,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0,0.0,5,3,PConc,5.0,4.0,4,GLQ,1386.0,Unf,0.0,690.0,2076.0,5,1,SBrkr,2076,0,0,2076,2,1,5,7,Typ,1,4.0,Attchd,2006.0,Fin,3.0,850.0,3.0,3.0,Y,0,0,9,2006,New,465000,1,4.0,445,50
983,85,RL,,9101,0,IR1,Lvl,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4.0,3.0,Av,GLQ,1097.0,Unf,0.0,0.0,1097.0,5,1,SBrkr,1110,0,0,1110,1,1,4,4,Typ,1,3.0,Attchd,1978.0,Fin,2.0,602.0,3.0,3.0,Y,0,0,7,2009,WD ,165500,1,2.0,333,30
1325,50,RM,81.0,12150,1,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3.0,3.0,No,Unf,0.0,Unf,0.0,1050.0,1050.0,5,0,FuseF,1050,745,0,1795,4,1,3,7,Typ,0,0.0,Attchd,1954.0,Unf,1.0,352.0,2.0,3.0,Y,0,0,11,2008,WD ,131500,1,2.0,0,25
1378,20,RL,70.0,11200,0,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,No,Rec,906.0,Unf,0.0,134.0,1040.0,5,1,SBrkr,1040,0,0,1040,3,1,3,5,Typ,0,0.0,Detchd,1965.0,Unf,1.0,384.0,3.0,3.0,Y,0,0,2,2008,WD ,129500,1,2.0,0,25
1537,70,RL,100.0,9670,0,IR1,HLS,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1935,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3.0,2.0,No,LwQ,210.0,Unf,0.0,398.0,608.0,3,1,SBrkr,983,890,0,1873,4,1,3,9,Typ,2,4.0,Detchd,1935.0,Fin,2.0,786.0,2.0,3.0,Y,0,0,6,2008,WD ,257076,1,2.0,207,48
905,50,RL,60.0,10998,1,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,No,LwQ,408.0,BLQ,420.0,156.0,984.0,5,1,SBrkr,984,620,0,1604,3,1,3,6,Min2,0,0.0,Detchd,1977.0,Unf,2.0,660.0,3.0,3.0,Y,0,0,7,2009,WD ,117000,1,2.0,68,25
1532,70,RL,60.0,7200,0,Reg,HLS,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4.0,3.0,No,Unf,0.0,Unf,0.0,776.0,776.0,3,1,SBrkr,851,651,0,1502,3,1,3,6,Typ,1,4.0,Attchd,1931.0,RFn,1.0,270.0,3.0,3.0,P,0,MnPrv,2,2008,WD ,149000,1,2.0,112,42
132,20,RL,80.0,9920,0,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3.0,3.0,No,Rec,354.0,LwQ,290.0,412.0,1056.0,3,1,SBrkr,1063,0,0,1063,3,1,3,6,Typ,0,0.0,Attchd,1954.0,RFn,1.0,280.0,3.0,3.0,Y,0,MnPrv,2,2010,WD ,128000,1,2.0,164,25
1078,160,RL,36.0,2448,0,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4.0,3.0,No,Unf,0.0,Unf,0.0,764.0,764.0,5,1,SBrkr,764,862,0,1626,2,1,4,6,Typ,0,0.0,BuiltIn,2003.0,RFn,2.0,474.0,3.0,3.0,Y,0,0,10,2008,WD ,155000,1,3.0,27,35
2511,160,FV,,2998,0,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4.0,3.0,No,GLQ,353.0,Unf,0.0,403.0,756.0,5,1,SBrkr,768,756,0,1524,2,1,4,4,Typ,0,0.0,Detchd,2000.0,Unf,2.0,440.0,3.0,3.0,Y,0,0,6,2006,WD ,166000,1,3.0,32,30
912,50,RL,65.0,7804,0,Reg,Lvl,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1928,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3.0,3.0,No,BLQ,622.0,Unf,0.0,500.0,1122.0,3,1,SBrkr,1328,653,0,1981,4,1,4,7,Min2,2,3.0,Detchd,1981.0,Unf,2.0,576.0,3.0,3.0,Y,0,MnPrv,12,2009,WD ,135000,1,3.0,475,12
2351,60,RL,80.0,16692,0,IR1,Lvl,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4.0,3.0,No,BLQ,790.0,LwQ,469.0,133.0,1392.0,3,1,SBrkr,1392,1392,0,2784,5,1,4,12,Typ,2,3.0,Attchd,1978.0,RFn,2.0,564.0,3.0,3.0,Y,0,MnPrv,7,2006,WD ,250000,0,5.0,552,35
330,160,RM,21.0,1476,0,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,3.0,3.0,No,GLQ,176.0,Unf,0.0,370.0,546.0,5,1,SBrkr,546,546,0,1092,3,1,3,5,Typ,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,Y,0,0,3,2010,WD ,76000,1,2.0,226,28
